MOF_name,fun,delta_FE,delta_dLM_FE,delta_vdw,delta_ebond,delta_eang,delta_edihe,delta_eimp,parent_VF,parent_Hs_frac,parent_SA_vol,parent_SA_gra,parent_inv_dens,parent_dens_atoms_UC,total_fun_mass,fun_rotations,fun_Ks_CX,fun_equiDist_CX,fun_Ks_extra,fun_equiDist_extra,fun_height,fun_EleDiff_CX,fun_EleDiff_Xres,fun_eps_eff,fun_sig_eff,hs_per_fun
SR_sur_v1-4c_Cu_1_Ch_v2-3c_B_Ch_1-ntn_edge_1-1B_2CH3_Chnl,2CH3,-0.0819408800000012,-0.153680008,-0.3409999999999997,-0.2110000000000003,0.179,0.2730000000000001,-0.0229999999999999,0.69925,0.238095238095238,2662.34,3745.85,1.406978331,0.033956568,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_mfj_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-4c_Cu_1_Ch_4-1B_4H_Chnl_1-ntn_edge,4H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8285,0.3009708737864077,1747.26,5122.83,2.931915068,0.019258848,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
SR_yac_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-3c_B_Ch_v6-3c_B_Ch_v7-3c_B_Ch_v8-3c_B_Ch_2-1B_2CF3_Chnl_1-ntn_edge_4-1B_2CF3_Chnl,2CF3,-1.7040506099999997,-1.805902457,-0.5089999999999999,-0.2509999999999999,0.4489999999999998,0.7439999999999998,-0.063,0.79075,0.2857142857142857,1869.95,4509.81,2.411724841,0.019079786,140.02768,3.0,1547.84544496,1.486,1747.93181432,1.38152,1.9944,0.0,4.29,1.06692,11.061,2.0
SR_nba_v1-4c_Cu_1_Ch_v2-3c_B_Ch_1-ntn_edge_1-2B_2CH3_Chnl,2CH3,-0.8815127400000016,-0.928387738,-0.8089999999999997,-0.1470000000000002,0.407,-0.3200000000000003,-0.035,0.8653,0.3384615384615385,1565.66,6164.45,3.937271392,0.016395188,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_hbk_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_v4-3c_B_Ch_1-ntn_edge_4-1B_2F_Chnl,2F,-0.5218371000000026,-0.5218370990000001,0.0090000000000003,-0.016,0.012,0.488,0.001,0.8137,0.3009708737864077,1820.17,5102.44,2.803271979,0.020142016,40.01168,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,2.0
SR_yac_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-3c_B_Ch_v6-3c_B_Ch_v7-3c_B_Ch_v8-3c_B_Ch_4-ntn_edge_1-1B_2CH3_Chnl_1-ntn_edge_1-1B_2CH3_Chnl,2CH3,-0.4308189899999988,-0.527877809,-0.4329999999999998,-0.2409999999999996,0.1649999999999998,0.0500000000000007,-0.0529999999999999,0.6311,0.2222222222222222,2455.9,3008.77,1.225119357,0.031841295,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_tfe_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_2-2B_4CN_Chnl,4CN,-0.656072039999998,-0.6726632810000001,0.0019999999999997,0.1819999999999999,0.1579999999999999,0.5710000000000002,-0.0249999999999999,0.942425,0.3694267515923566,693.124,7231.72,10.43351244,0.00689097,104.072,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,0.0
SR_fog_v1-3c_B_Ch_v2-4c_Cu_1_Ch_1-1B_4F_Chnl_1-ntn_edge,4F,-0.7512194199999982,-0.751219418,-0.0629999999999997,-0.016,-0.0089999999999998,0.3740000000000001,0.001,0.69345,0.238095238095238,2585.99,3696.02,1.429251344,0.028710194,75.992,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,0.0
SR_yac_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-3c_B_Ch_v6-3c_B_Ch_v7-3c_B_Ch_v8-3c_B_Ch_1-1B_2NH2_Chnl_3-ntn_edge_2-1B_2NH2_Chnl_1-ntn_edge,2NH2,-0.9439407700000012,-1.020453014,-0.419,-0.2190000000000003,0.08,0.0100000000000006,-0.048,0.69355,0.2528735632183908,2200.18,3466.81,1.575698941,0.026504937,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_mfj_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-4c_Cu_1_Ch_2-1B_2SH_Chnl_1-ntn_edge_2-1B_2SH_Chnl,2SH,-0.6233797299999999,-0.6550870369999999,-0.6240000000000001,-0.165,0.1139999999999998,1.646,-0.0089999999999999,0.85305,0.3097345132743362,1537.04,5375.69,3.497420652,0.016564906,68.16168,1.0,1260.62572752,1.78592,959.35253984,1.40733,1.9477,0.03,-0.38,1.330512,3.271,4.0
